sentence,num_words,google_language,stopwords_language,book_name
Ahab and Starbuck in the Cabin.,6,{'en': 0.9999956720713191},"{'italian': 1, 'dutch': 1, 'english': 3, 'german': 1}",moby_dick
CHAPTER 110.,2,{'en': 0.9999959461625653},{},moby_dick
Queequeg in His Coffin.,4,{'en': 0.999994295644284},"{'italian': 1, 'dutch': 1, 'english': 1, 'german': 1}",moby_dick
CHAPTER 111.,2,{'en': 0.9999960781348031},{},moby_dick
The Pacific.,2,{'en': 0.9999966651232115},{},moby_dick
CHAPTER 112.,2,{'en': 0.9999931515313212},{},moby_dick
The Blacksmith.,2,{'en': 0.9999962498193369},{},moby_dick
CHAPTER 113.,2,{'en': 0.9999953935181097},{},moby_dick
The Forge.,2,{'en': 0.9999973765853465},{},moby_dick
CHAPTER 114.,2,{'en': 0.9999948648584027},{},moby_dick
The Gilder.,2,"{'en': 0.7142858448470736, 'de': 0.2857141528992401}",{},moby_dick
CHAPTER 115.,2,{'en': 0.999995105388247},{},moby_dick
The Pequod Meets The Bachelor.,5,{'en': 0.9999954172451218},{},moby_dick
CHAPTER 116.,2,{'en': 0.9999943243195115},{},moby_dick
The Dying Whale.,3,{'en': 0.9999967464733144},{},moby_dick
CHAPTER 117.,2,{'en': 0.9999949612453599},{},moby_dick
The Whale Watch.,3,{'en': 0.9999959158104987},{},moby_dick
CHAPTER 118.,2,{'en': 0.9999937187667344},{},moby_dick
The Quadrant.,2,{'en': 0.9999953689104311},{},moby_dick
CHAPTER 119.,2,{'en': 0.9999949097245927},{},moby_dick
The Candles.,2,{'en': 0.9999992810711227},{},moby_dick
CHAPTER 120.,2,{'en': 0.9999950669782022},{},moby_dick
The Deck Towards the End of the First Night Watch.,10,{'en': 0.999997780570786},"{'dutch': 1, 'english': 2}",moby_dick
CHAPTER 121.,2,{'en': 0.9999938576829941},{},moby_dick
?The Forecastle Bulwarks.,3,{'en': 0.9999964738510868},{},moby_dick
CHAPTER 122.,2,{'en': 0.9999940423280362},{},moby_dick
Midnight Aloft.,2,"{'en': 0.8571385221788532, 'de': 0.1428594633478598}",{},moby_dick
?Thunder and Lightning.,3,"{'en': 0.857139164356186, 'de': 0.142859541173681}",{'english': 1},moby_dick
CHAPTER 123.,2,{'en': 0.9999960632562264},{},moby_dick
The Musket.,2,"{'en': 0.8571408236098126, 'da': 0.14285760920949336}",{},moby_dick
CHAPTER 124.,2,{'en': 0.9999942324112545},{},moby_dick
The Needle.,2,{'en': 0.999997962094876},{},moby_dick
CHAPTER 125.,2,{'en': 0.9999946146899834},{},moby_dick
The Log and Line.,4,{'en': 0.9999967052095544},{'english': 1},moby_dick
CHAPTER 126.,2,{'en': 0.9999949319303583},{},moby_dick
The Life-Buoy.,2,{'en': 0.9999957143127329},{},moby_dick
CHAPTER 127.,2,{'en': 0.9999939476635058},{},moby_dick
The Deck.,2,{'en': 0.9999944209575589},{},moby_dick
CHAPTER 128.,2,{'en': 0.999994630973709},{},moby_dick
The Pequod Meets The Rachel.,5,{'en': 0.9999960214543571},{},moby_dick
CHAPTER 129.,2,{'en': 0.9999928931373121},{},moby_dick
The Cabin.,2,{'en': 0.9999976286127814},{},moby_dick
CHAPTER 130.,2,{'en': 0.9999951881414797},{},moby_dick
The Hat.,2,{'en': 0.9999983504618188},{},moby_dick
CHAPTER 131.,2,{'en': 0.9999941741480574},{},moby_dick
The Pequod Meets The Delight.,5,{'en': 0.9999952007709592},{},moby_dick
CHAPTER 132.,2,{'en': 0.9999950285030301},{},moby_dick
The Symphony.,2,{'en': 0.9999981586845808},{},moby_dick
CHAPTER 133.,2,{'en': 0.9999936867033696},{},moby_dick
The Chase?First Day.,3,{'en': 0.9999977035032801},{},moby_dick
CHAPTER 134.,2,{'en': 0.9999952997786202},{},moby_dick
The Chase?Second Day.,3,{'en': 0.9999970694031586},{},moby_dick
CHAPTER 135.,2,{'en': 0.9999957517603113},{},moby_dick
The Chase.,2,{'en': 0.999997428081525},{},moby_dick
?Third Day.,2,{'en': 0.9999967259580127},{},moby_dick
"Epilogue            Original Transcriber?s Notes:    This text is a combination of etexts, one from the now-defunct ERIS  project at Virginia Tech and one from Project Gutenberg?s archives.",41,{'en': 0.9999972780899837},"{'italian': 1, 'norwegian': 1, 'french': 1, 'portuguese': 1, 'dutch': 2, 'danish': 1, 'hungarian': 2, 'english': 9, 'spanish': 1}",moby_dick
The proofreaders of this version are indebted to The University of  Adelaide Library for preserving the Virginia Tech version.,20,{'en': 0.9999981022690574},"{'dutch': 1, 'danish': 1, 'english': 6, 'norwegian': 1, 'portuguese': 1}",moby_dick
The resulting  etext was compared with a public domain hard copy version of the text.,16,{'en': 0.9999977390958106},"{'italian': 1, 'spanish': 1, 'portuguese': 1, 'hungarian': 1, 'english': 5, 'dutch': 2, 'german': 1}",moby_dick
"In chapters 24, 89, and 90, we substituted a capital L for the symbol  for the British pound, a unit of currency.",23,{'en': 0.9999980122436204},"{'italian': 1, 'norwegian': 1, 'portuguese': 2, 'dutch': 1, 'danish': 1, 'hungarian': 1, 'english': 6, 'spanish': 1}",moby_dick
(Supplied by a Late Consumptive Usher to a Grammar School.,10,{'en': 0.9999958456320653},"{'italian': 1, 'spanish': 1, 'hungarian': 1, 'english': 3, 'portuguese': 1}",moby_dick
")    The pale Usher?threadbare in coat, heart, body, and brain; I see him  now.",18,{'en': 0.9999963788990925},"{'italian': 1, 'dutch': 1, 'english': 4, 'german': 1}",moby_dick
"He was ever dusting his old lexicons and grammars, with a queer  handkerchief, mockingly embellished with all the gay flags of all  the known nations of the world.",30,{'en': 0.999996579988405},"{'italian': 2, 'spanish': 1, 'portuguese': 1, 'hungarian': 1, 'english': 8, 'dutch': 2, 'german': 1}",moby_dick
He loved to dust his old grammars; it  somehow mildly reminded him of his mortality.,16,{'en': 0.9999962141951776},"{'dutch': 1, 'english': 5}",moby_dick
"?While you take in hand to school others, and to teach them by what  name a whale-fish is to be called in our tongue, leaving out, through  ignorance, the letter H, which almost alone maketh up the signification  of the word, you deliver that which is not true?.",51,{'en': 0.9999985982170462},"{'italian': 2, 'spanish': 1, 'portuguese': 1, 'hungarian': 2, 'english': 19, 'dutch': 3, 'german': 1}",moby_dick
* * * Sw.,4,{'pl': 0.9999965342078647},{},moby_dick
and Dan.,2,{'en': 0.9999951072250324},{'english': 1},moby_dick
This animal is named from roundness  or rolling; for in Dan.,12,{'en': 0.999995244610197},"{'italian': 1, 'norwegian': 1, 'portuguese': 1, 'danish': 1, 'english': 5, 'dutch': 2, 'german': 1}",moby_dick
hvalt is arched or vaulted?.,5,"{'en': 0.5714275931716534, 'nl': 0.42857168830945014}","{'dutch': 1, 'english': 2}",moby_dick
?Webster?s  Dictionary.,3,{'en': 0.9999954686915316},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
* * * It is more immediately from the Dut.,10,{'en': 0.9999967902936597},"{'dutch': 1, 'english': 4}",moby_dick
and Ger.,2,"{'en': 0.14285989698347887, 'de': 0.8571400943063018}",{'english': 1},moby_dick
"Wallen;  A.S. Walwian, to roll, to wallow?.",8,{'en': 0.9999973169590819},{'english': 1},moby_dick
?Richardson?s Dictionary.,2,{'en': 0.9999966711682728},"{'hungarian': 1, 'english': 1, 'french': 1}",moby_dick
"??,                  Hebrew.",19,{'nl': 0.9999948644055496},{},moby_dick
"?????,               Greek.",16,"{'af': 0.14285734857243737, 'el': 0.857142398130434}",{},moby_dick
"CETUS,               Latin.",16,"{'en': 0.2857157718558378, 'de': 0.7142827175305257}",{},moby_dick
"WH?L,                Anglo-Saxon.",17,"{'tl': 0.857140917366785, 'so': 0.1428569793590587}",{},moby_dick
"HVALT,               Danish.",16,{'en': 0.9999971676234352},{},moby_dick
"WAL,                 Dutch.",18,"{'en': 0.28571575243803005, 'de': 0.7142842394939599}",{},moby_dick
"HWAL,                Swedish.",17,{'en': 0.9999962601974763},{},moby_dick
"WHALE,               Icelandic.",16,{'en': 0.999993767699082},{},moby_dick
"WHALE,               English.",16,{'en': 0.9999953387065147},{},moby_dick
"BALEINE,             French.",14,"{'en': 0.428574465713695, 'de': 0.5714255027007701}",{},moby_dick
"BALLENA,             Spanish.",14,{'en': 0.9999951640610611},{},moby_dick
"PEKEE-NUEE-NUEE,     Fegee.",6,{'nl': 0.9999942841387215},{},moby_dick
"PEHEE-NUEE-NUEE,     Erromangoan.",6,"{'en': 0.2857139487185988, 'tl': 0.5714267051834633, 'id': 0.14285862705673535}",{},moby_dick
(Supplied by a Sub-Sub-Librarian).,4,"{'en': 0.8571414059468148, 'af': 0.1428564204792621}","{'italian': 1, 'spanish': 1, 'hungarian': 1, 'english': 2, 'portuguese': 1}",moby_dick
"It will be seen that this mere painstaking burrower and grub-worm of a  poor devil of a Sub-Sub appears to have gone through the long Vaticans  and street-stalls of the earth, picking up whatever random allusions to  whales he could anyways find in any book whatsoever, sacred or  profane.",53,{'en': 0.9999980649376856},"{'italian': 2, 'spanish': 2, 'finnish': 1, 'portuguese': 1, 'danish': 1, 'hungarian': 2, 'english': 16, 'dutch': 2, 'german': 2}",moby_dick
"Therefore you must not, in every case at least, take the  higgledy-piggledy whale statements, however authentic, in these  extracts, for veritable gospel cetology.",25,{'en': 0.9999970094012214},"{'italian': 1, 'norwegian': 2, 'portuguese': 1, 'danish': 2, 'english': 7, 'dutch': 1, 'german': 1}",moby_dick
Far from it.,3,{'en': 0.9999967835928176},{'english': 2},moby_dick
"As touching the  ancient authors generally, as well as the poets here appearing, these  extracts are solely valuable or entertaining, as affording a glancing  bird?s eye view of what has been promiscuously said, thought, fancied,  and sung of Leviathan, by many nations and generations, including our  own.",52,{'en': 0.9999973236405884},"{'italian': 1, 'spanish': 2, 'french': 2, 'portuguese': 2, 'hungarian': 2, 'english': 16, 'dutch': 1}",moby_dick
"So fare thee well, poor devil of a Sub-Sub, whose commentator I am.",13,{'en': 0.9999962690781221},"{'italian': 1, 'spanish': 1, 'portuguese': 1, 'hungarian': 1, 'english': 3, 'dutch': 1, 'german': 1}",moby_dick
"Thou  belongest to that hopeless, sallow tribe which no wine of this world  will ever warm; and for whom even Pale Sherry would be too rosy-strong;  but with whom one sometimes loves to sit, and feel poor-devilish, too;  and grow convivial upon tears; and say to them bluntly, with full eyes  and empty glasses, and in not altogether unpleasant sadness?Give  it up, Sub-Subs!",69,{'en': 0.9999956359740114},"{'italian': 1, 'norwegian': 2, 'portuguese': 2, 'dutch': 2, 'danish': 2, 'hungarian': 1, 'english': 19, 'spanish': 1, 'german': 2}",moby_dick
"For by how much the more pains ye take to please the  world, by so much the more shall ye for ever go thankless!",25,{'en': 0.9999969671251285},"{'danish': 1, 'german': 1, 'english': 7, 'norwegian': 2, 'portuguese': 1}",moby_dick
Would that  I could clear out Hampton Court and the Tuileries for ye!,14,{'en': 0.9999964618930102},"{'danish': 1, 'english': 5, 'norwegian': 1, 'portuguese': 1}",moby_dick
"But gulp down  your tears and hie aloft to the royal-mast with your hearts; for your  friends who have gone before are clearing out the seven-storied heavens,  and making refugees of long-pampered Gabriel, Michael, and  Raphael, against your coming.",43,{'en': 0.9999976798005602},"{'dutch': 1, 'danish': 2, 'english': 14, 'norwegian': 1, 'portuguese': 1}",moby_dick
